#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
IV|MNS||BHE|42.385460|12.681060|706|0|90|0|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|20|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||BHN|42.385460|12.681060|706|0|0|0|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|20|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||BHZ|42.385460|12.681060|706|0|0|-90|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|20|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||HHE|42.385460|12.681060|706|0|90|0|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|100|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||HHN|42.385460|12.681060|706|0|0|0|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|100|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||HHZ|42.385460|12.681060|706|0|0|-90|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|100|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||HNE|42.385460|12.681060|706|0|90|0|KINEMETRICS EPISENSOR-FBA-ES-T|320770.0|0.2|M/S**2|200|2009-11-11T12:00:00|2013-03-01T11:08:00
IV|MNS||HNN|42.385460|12.681060|706|0|0|0|KINEMETRICS EPISENSOR-FBA-ES-T|320770.0|0.2|M/S**2|200|2009-11-11T12:00:00|2013-03-01T11:08:00
IV|MNS||HNZ|42.385460|12.681060|706|0|0|-90|KINEMETRICS EPISENSOR-FBA-ES-T|320770.0|0.2|M/S**2|200|2009-11-11T12:00:00|2013-03-01T11:08:00
IV|MNS||LHE|42.385460|12.681060|706|0|90|0|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|1|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||LHN|42.385460|12.681060|706|0|0|0|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|1|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||LHZ|42.385460|12.681060|706|0|0|-90|NANOMETRICS TRILLIUM-40S|1.17965E9|0.2|M/S|1|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||VHE|42.385460|12.681060|706|0|90|0|NANOMETRICS TRILLIUM-40S|2.43E9|0.02|M/S|0.1|2008-02-26T10:21:00|2013-03-01T00:00:00
IV|MNS||VHN|42.385460|12.681060|706|0|0|0|NANOMETRICS TRILLIUM-40S|2.43E9|0.02|M/S|0.1|2008-02-26T10:21:00|2013-03-01T00:00:00
